manufacturer_id,manufacturer_name
7270,TAKEDA CANADA INC
9918,ALLENA PHARMACEUTICALS INC
9935,CONSTELLATION PHARMACEUTICALS INC.
8297,OTTAWA HEART INSTITUTE RESEARCH CORPORATION
8299,"AUSPEX PHARMACEUTICALS, INCORPORATED"
9051,DECIPHERA PHARMACEUTICALS. LLC
9096,PHARMACYCLICS LLC
9138,ESPERAS PHARMA INC
7559,DR GARY ANDOLFATTO
8392,DR ELIZABETH FINGER
8410,GENKYOTEX INNOVATION SAS
8416,NOVARTIS VACCINE AND DIAGNOSTICS AG
9142,IPSEN BIOPHARMACEUTICALS INC
9148,"HALOZYME, INC"
9164,DR. ERIC S. TAM
9176,THROMBOGENICS NV
9196,ABBVIE INC
9201,HORIZON PHARMA IRELAND LTD
9207,GEMPHIRE THERAPEUTICS INC
9210,PAION UK LIMITED
10013,DR PRADEEPA YOGANATHAN
10031,SUSTAINED THERAPEUTICS INC
10033,DR. DAVID SHADE
10035,OXTHERA INTELLECTUAL PROPERTY AB
10047,DR. RODRIGO B. MANSUR
7579,GERON CORPORATION
8460,CRUCELL HOLLAND B.V.
9219,"EIGER BIOPHARMACEUTICALS, INC"
9239,PROMETIC PHARMA SMT LTD
9242,GENFIT
9267,KYOWA KIRIN PHARMACEUTICAL DEVELOPMENT INC
10977,DR. HAL SIDEN
10979,"ARCUS BIOSCIENCES, INC."
10981,"ALTIMMUNE, INC."
11297,"CHINOOK THERAPEUTICS U.S., INC."
11785,"ALLOVIR, INC"
11593,DR. DAVID N. GINTHER
10617,C17 COUNCIL
10619,"IVERIC BIO, INC."
11765,"SPRINGWORKS THERAPEUTICS, INC."
10532,1GLOBE HEALTH INSTITUTE
10573,"OCELLARIS PHARMA, INC."
10924,UPTOWN EYE SPECIALISTS
6815,COSMO TECHNOLOGIES LTD
6796,INTERCEPT PHARMACEUTICALS INC
6763,GILEAD SCIENCES CANADA INC
6993,"REVANCE THERAPEUTICS, INC."
7026,NEKTAR THERAPEUTICS
7096,NCIC CLINICAL TRIALS GROUP QUEENS UNIVERSITY
7357,ARADIGM CORPORATION
7283,AVEO PHARMACEUTICALS INC
10966,REPARE THERAPEUTICS
10660,BICARA THERAPEUTICS
11426,"VIFOR PHARMA, INC."
11672,ENDEAVOR BIOMEDICINES
10937,"PASSAGE BIO, INC."
10446,"ALBERTA HEALTH SERVICES, CROSS CANCER INSTITUTE"
10640,APOLLOMICS INC.
11538,SUVEN LIFE SCIENCES LIMITED
10411,RESTORBIO INC
10973,DR. MARK VINCENT
10505,SUTRO BIOPHARMA
10918,"ANELIXIS THERAPEUTICS, INC"
10976,VERONA PHARMA PLC
11568,F2G LTD.
11764,PETER MERKEL
10701,ALGERNON PHARMACEUTICALS INCORPORATED
11655,"MAPLIGHT THERAPEUTICS, INC."
11659,"VIRIDIAN THERAPEUTICS, INC."
11675,"FARADAY PHARMACEUTICALS, INC."
11790,"NUVALENT, INC."
11143,"EQUILLIUM, INC."
11286,UNIVERSITY OF HEIDELBERG
6412,SPECTRUM PHARMACEUTICALS INC
6418,TOLMAR INC
6716,ARIAD PHARMACEUTICALS INC
5506,DERMA SCIENCES CANADA INC.
4794,GOVERNORS OF THE UNIVERSITY OF ALBERTA
5310,LEK PHARMACEUTICALS D D
5095,PROMETIC BIOSCIENCES INC
5120,"PHARMA MAR, S.A."
5727,VARIATION BIOTECHNOLOGIES INC
